time_segment_key, Start_Time_date, Start_Time_time, Duration, Approved, myPay_Key, Pay_Created_Date
  1094617, 3.0, 8.5,   7.50000,   1,   72946,   2013-06-11 10:34:02
  1108692, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1108693, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1108694, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1108692, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1108691, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1108690, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1108690, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1108691, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1108693, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1108694, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1108692, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1108691, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1108690, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1108693, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1108694, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1108690, 6.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1108691, 5.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1108692, 4.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1108693, 3.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1108694, 2.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1108694, 2.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1108693, 3.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1108692, 4.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1108691, 5.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1108690, 6.0, 8.5,   7.50000,   1,   74120,   2013-06-18 17:36:25
  1123125, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1123128, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1123130, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1123131, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1123134, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1123134, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1123131, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1123130, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1123128, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1123125, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1123134, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1123131, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1123130, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1123128, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1123125, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1123134, 6.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1123131, 5.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1123130, 4.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1123128, 3.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1123125, 2.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1123134, 6.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1123131, 5.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1123130, 4.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1123128, 3.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1123125, 2.0, 8.5,   7.50000,   1,   75029,   2013-06-25 08:47:39
  1135904, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1135905, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1135907, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1135909, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1135911, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1135907, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1135911, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1135909, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1135907, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1135905, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1135904, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1135907, 6.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135911, 5.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135909, 4.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135905, 3.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135904, 2.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135911, 5.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135909, 4.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135907, 6.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135905, 3.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135904, 2.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1150611, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1150612, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1150614, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1150615, 6.0, 8.5,   2.50000,   0,   0,   NULL
  1150613, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1150612, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1135911, 5.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135909, 4.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135907, 6.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135905, 3.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1135904, 2.0, 8.5,   7.50000,   1,   76325,   2013-07-02 14:33:15
  1150615, 6.0, 8.5,   2.50000,   1,   0,   NULL
  1150613, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1150612, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1150614, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1150611, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1150615, 6.0, 8.5,   2.50000,   0,   0,   NULL
  1150613, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1150612, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1150614, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1150611, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1150615, 6.0, 8.5,   2.50000,   1,   0,   NULL
  1150613, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1150612, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1150614, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1150611, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1150615, 6.0, 8.5,   2.50000,   1,   0,   NULL
  1150613, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1150612, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1150614, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1150611, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1150615, 6.0, 8.5,   2.50000,   1,   77393,   2013-07-09 17:18:24
  1150613, 5.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150612, 4.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150614, 3.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150611, 2.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1163677, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1163679, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1163680, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1163681, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1163682, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1163682, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1163681, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1163680, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1163679, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1163677, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1163680, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1163682, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1163681, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1163679, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1163677, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1163682, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1163681, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1163680, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1163679, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1163677, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1150615, 6.0, 8.5,   2.50000,   1,   77393,   2013-07-09 17:18:24
  1150614, 3.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150613, 5.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150612, 4.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150611, 2.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150615, 6.0, 8.5,   2.50000,   0,   77393,   2013-07-09 17:18:24
  1150613, 5.0, 8.5,   7.50000,   0,   77393,   2013-07-09 17:18:24
  1150612, 4.0, 8.5,   7.50000,   0,   77393,   2013-07-09 17:18:24
  1150614, 3.0, 8.5,   7.50000,   0,   77393,   2013-07-09 17:18:24
  1150611, 2.0, 8.5,   7.50000,   0,   77393,   2013-07-09 17:18:24
  1172147, 6.0, 11.0,   5.00000,   1,   0,   NULL
  1150615, 6.0, 8.5,   2.50000,   1,   77393,   2013-07-09 17:18:24
  1150613, 5.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150612, 4.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150614, 3.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1150611, 2.0, 8.5,   7.50000,   1,   77393,   2013-07-09 17:18:24
  1172147, 6.0, 11.0,   5.00000,   0,   0,   NULL
  1172147, 6.0, 11.0,   5.00000,   1,   0,   NULL
  1163682, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1163681, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1163680, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1163679, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1163677, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1172147, 6.0, 11.0,   5.00000,   1,   78275,   2013-07-16 14:08:29
  1163680, 6.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1163682, 5.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1163681, 4.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1163679, 3.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1163677, 2.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1163682, 5.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1163681, 4.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1163680, 6.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1163679, 3.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1163677, 2.0, 8.5,   7.50000,   1,   78277,   2013-07-16 14:14:37
  1172147, 6.0, 11.0,   5.00000,   1,   78275,   2013-07-16 14:08:29
  1177747, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1177748, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1177750, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1177752, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1177753, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1177753, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1177752, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1177750, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1177748, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1177747, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1177753, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1177752, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1177750, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1177748, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1177747, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1177753, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1177752, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1177750, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1177748, 3.0, 8.5,   7.50000,   1,   0,   NULL
